2023-11-28 09:27:41.203 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 8.0.1.Final
2023-11-28 09:27:41.229 INFO  [restartedMain] [c.example.spring31.Spring31Application] - Starting Spring31Application using Java 17.0.7 with PID 10040 (D:\spring_boot\spring31\build\classes\java\main started by db400tea in D:\spring_boot\spring31)
2023-11-28 09:27:41.230 INFO  [restartedMain] [c.example.spring31.Spring31Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-28 09:27:41.369 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-28 09:27:41.371 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-28 09:27:41.755 INFO  [restartedMain] [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-11-28 09:27:41.763 INFO  [restartedMain] [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 4 ms. Found 0 JPA repository interfaces.
2023-11-28 09:27:42.102 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8080 (http)
2023-11-28 09:27:42.107 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8080"]
2023-11-28 09:27:42.108 INFO  [restartedMain] [o.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-28 09:27:42.108 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.16]
2023-11-28 09:27:42.152 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-28 09:27:42.152 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 781 ms
2023-11-28 09:27:42.236 INFO  [restartedMain] [o.hibernate.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-11-28 09:27:42.262 INFO  [restartedMain] [org.hibernate.Version] - HHH000412: Hibernate ORM core version 6.2.13.Final
2023-11-28 09:27:42.263 INFO  [restartedMain] [org.hibernate.cfg.Environment] - HHH000406: Using bytecode reflection optimizer
2023-11-28 09:27:42.404 INFO  [restartedMain] [o.s.o.j.p.SpringPersistenceUnitInfo] - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-11-28 09:27:42.419 INFO  [restartedMain] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-28 09:27:42.462 INFO  [restartedMain] [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@4c1d963e
2023-11-28 09:27:42.463 INFO  [restartedMain] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-28 09:27:42.475 WARN  [restartedMain] [org.hibernate.orm.deprecation] - HHH90000025: MariaDB103Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2023-11-28 09:27:42.475 WARN  [restartedMain] [org.hibernate.orm.deprecation] - HHH90000026: MariaDB103Dialect has been deprecated; use org.hibernate.dialect.MariaDBDialect instead
2023-11-28 09:27:42.640 INFO  [restartedMain] [o.h.e.t.j.p.i.JtaPlatformInitiator] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2023-11-28 09:27:42.642 INFO  [restartedMain] [o.s.o.j.LocalContainerEntityManagerFactoryBean] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-11-28 09:27:42.804 WARN  [restartedMain] [o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-11-28 09:27:42.855 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-28 09:27:42.946 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1abdf62f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@31643b8, org.springframework.security.web.context.SecurityContextHolderFilter@15656cb6, org.springframework.security.web.header.HeaderWriterFilter@60c6b3f6, org.springframework.security.web.authentication.logout.LogoutFilter@31868545, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4b37b131, org.springframework.security.web.session.ConcurrentSessionFilter@a06aed, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1ab10350, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5f314421, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@558570f7, org.springframework.security.web.session.SessionManagementFilter@28da5c46, org.springframework.security.web.access.ExceptionTranslationFilter@32d390c8, org.springframework.security.web.access.intercept.AuthorizationFilter@281f6df0]
2023-11-28 09:27:43.095 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-28 09:27:43.105 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8080"]
2023-11-28 09:27:43.116 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8080 (http) with context path ''
2023-11-28 09:27:43.122 INFO  [restartedMain] [c.example.spring31.Spring31Application] - Started Spring31Application in 2.073 seconds (process running for 2.514)
2023-11-28 09:27:49.572 INFO  [http-nio-8080-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-28 09:27:49.572 INFO  [http-nio-8080-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-28 09:27:49.573 INFO  [http-nio-8080-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-28 09:27:49.586 WARN  [http-nio-8080-exec-1] [o.s.w.s.h.HandlerMappingIntrospector] - Cache miss for REQUEST dispatch to '/' (previous null). Performing MatchableHandlerMapping lookup. This is logged once only at WARN level, and every time at TRACE.
2023-11-28 09:28:15.671 INFO  [SpringApplicationShutdownHook] [o.s.o.j.LocalContainerEntityManagerFactoryBean] - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-11-28 09:28:15.674 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-28 09:28:15.684 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-28 09:28:17.772 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 8.0.1.Final
2023-11-28 09:28:17.794 INFO  [restartedMain] [c.example.spring31.Spring31Application] - Starting Spring31Application using Java 17.0.7 with PID 21728 (D:\spring_boot\spring31\build\classes\java\main started by db400tea in D:\spring_boot\spring31)
2023-11-28 09:28:17.794 INFO  [restartedMain] [c.example.spring31.Spring31Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-28 09:28:17.948 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-28 09:28:17.948 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-28 09:28:18.310 INFO  [restartedMain] [o.s.d.r.c.RepositoryConfigurationDelegate] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-11-28 09:28:18.319 INFO  [restartedMain] [o.s.d.r.c.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 4 ms. Found 0 JPA repository interfaces.
2023-11-28 09:28:18.657 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8080 (http)
2023-11-28 09:28:18.662 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8080"]
2023-11-28 09:28:18.663 INFO  [restartedMain] [o.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-28 09:28:18.663 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.16]
2023-11-28 09:28:18.705 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-28 09:28:18.705 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 757 ms
2023-11-28 09:28:18.787 INFO  [restartedMain] [o.hibernate.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
